year,stockID,per
2015,1514,15.0025
2016,1514,18.4275
2017,1514,19.725
2018,1514,16.5975
2019,1514,12.7025
2020,1514,15.26
2021,1514,16.145
2022,1514,14.86
2023,1514,20.6
2024,1514,40.59
2014,1515,12.53
2015,1515,14.41
2016,1515,22.08
2017,1515,29.0375
2018,1515,27.0125
2019,1515,17.0775
2020,1515,13.15
2021,1515,14.3275
2022,1515,54.86666667
2023,1515,490.05
2024,1515,14.67333333
2014,1516,11.49
2015,1516,10.8875
2016,1516,14.8675
2017,1516,24.97
2018,1516,36.1225
2019,1516,35.7825
2020,1516,26.0975
2021,1516,16.785
2022,1516,15.7375
2023,1516,31.6175
2024,1516,44.54333333
2014,1517,14.06
2015,1517,16.595
2016,1517,70.44
2018,1517,50.69666667
2019,1517,71.6525
2020,1517,22.47
2021,1517,17.4675
2022,1517,9.5525
2023,1517,77.42666667
2014,1519,15.85
2015,1519,16.8775
2016,1519,18.3075
2017,1519,36.56
2018,1519,81.8575
2019,1519,27.6075
2020,1519,21.2675
2021,1519,30.87
2022,1519,18.045
2023,1519,25.7325
2024,1519,71.07333333
2014,1521,14.275
2015,1521,16.675
2016,1521,13.0025
2017,1521,12.525
2018,1521,13.8825
2019,1521,14.105
2020,1521,19.2275
2021,1521,31.66
2022,1521,31.5825
2023,1521,54.5025
2024,1521,48.01666667
2014,1522,11.765
2015,1522,9.9175
2016,1522,10.8125
2017,1522,13.26
2018,1522,14.1075
2019,1522,13.28
2020,1522,18.0375
2021,1522,30.1825
2022,1522,13.085
2023,1522,11.935
2024,1522,12.95666667
2014,1524,192.4
2016,1524,43.39333333
2017,1524,11.64
2018,1524,10.27
2019,1524,10.9925
2020,1524,26.0775
2021,1524,35.315
2022,1524,14.2425
2023,1524,12.985
2024,1524,12.52666667
2014,1525,13.94
2015,1525,12.4075
2016,1525,16.9325
2017,1525,14.22
2018,1525,10.2625
2019,1525,12.495
2020,1525,13.025
2021,1525,16.315
2022,1525,15.255
2023,1525,17.7075
2024,1525,16.81666667
2014,1526,12.525
2015,1526,10.4975
2016,1526,8.4
2017,1526,13.845
2018,1526,15.4675
2019,1526,16.2725
2020,1526,14.82
2021,1526,13.295
2022,1526,8.27
2023,1526,19.5925
2024,1526,90.8
2014,1527,6.71
2015,1527,7.735
2016,1527,12.915
2017,1527,27.99
2018,1527,12.11
2019,1527,10.1
2020,1527,11.845
2021,1527,14.44
2022,1527,9.325
2023,1527,11.73
2024,1527,14.53666667
2014,1528,99.575
2015,1528,378.3
2016,1528,35.98666667
2017,1528,21.2775
2018,1528,39.645
2021,1528,24.00333333
2022,1528,10.4425
2023,1528,49.57666667
2017,1529,56.115
2018,1529,12.9225
2019,1529,27.3625
2020,1529,25.06
2021,1529,20.8075
2022,1529,41.34
2023,1529,51.5375
2024,1529,54.99333333
