year,stockID,roa
2013,1435,-1
2012,1435,0.09
2011,1435,-0.34
2010,1435,27.9
2009,1435,-3.13
2008,1435,-0.06
2023,1436,6.69
2022,1436,4.72
2021,1436,3.84
2020,1436,1.69
2019,1436,2.67
2018,1436,4.73
2017,1436,3.46
2016,1436,0.65
2015,1436,-0.61
2014,1436,6
2013,1436,-0.32
2012,1436,-1.94
2011,1436,23.4
2010,1436,7.09
2009,1436,-0.94
2008,1436,-2.48
2023,1437,4.51
2022,1437,3.32
2021,1437,3.95
2020,1437,3.21
2019,1437,8.4
2018,1437,2.5
2017,1437,3.27
2016,1437,4.61
2015,1437,0.56
2014,1437,2.31
2013,1437,-6.09
2012,1437,0.15
2011,1437,-1.52
2010,1437,2.06
2009,1437,0.68
2008,1437,-3.57
2023,1438,-0.68
2022,1438,5.53
2021,1438,0.85
2020,1438,3.75
2019,1438,-1.78
2018,1438,-1.98
2017,1438,-0.91
2016,1438,-1.14
2015,1438,1.79
2014,1438,0.6
2013,1438,5
2012,1438,1.72
2023,1439,3.85
2022,1439,2.96
2021,1439,4.6
2020,1439,-9.3
2019,1439,39.8
2018,1439,-3.38
2017,1439,-0.33
2016,1439,1.19
2015,1439,0.03
2014,1439,0.03
2013,1439,0.07
2012,1439,-0.37
2023,1440,4.29
2022,1440,2.37
2021,1440,6.12
2020,1440,2.12
2019,1440,0.26
2018,1440,2.44
2017,1440,1.64
2016,1440,1.17
2015,1440,2.86
2014,1440,1
2013,1440,3.49
2012,1440,2.11
2011,1440,1.68
2010,1440,8.38
2009,1440,3.17
2008,1440,-0.78
2023,1441,-15
2022,1441,-13.1
2021,1441,-6.82
2020,1441,-11
2019,1441,-12.1
2018,1441,30.8
2017,1441,-8.57
2016,1441,-7.05
2015,1441,-2.92
2014,1441,-7.26
2013,1441,-0.52
2012,1441,-2.07
2011,1441,6.33
2010,1441,8.35
2009,1441,-5
2008,1441,-8.08
2023,1442,10.1
2022,1442,4.21
2021,1442,3.81
2020,1442,0.62
2019,1442,0.89
2018,1442,1.15
2017,1442,4.98
2016,1442,4.13
2015,1442,4.02
2014,1442,3.36
2013,1442,11.5
2012,1442,3.26
2011,1442,10
2010,1442,7.72
2009,1442,9.2
2008,1442,8.89
2023,1443,2.11
2022,1443,2.22
2021,1443,3.38
2020,1443,-1.07
2019,1443,0.06
2018,1443,-13
2017,1443,-6.84
2016,1443,-5.36
2015,1443,-4.23
2014,1443,-4.52
2013,1443,-3.11
2012,1443,-5.7
2011,1443,-3.59
2010,1443,0.38
2009,1443,-4.34
2008,1443,-2.74
2023,1444,-1.65
2022,1444,2.36
2021,1444,3.43
2020,1444,-2.4
2019,1444,-0.34
2018,1444,1.96
2017,1444,-0.25
2016,1444,0.37
2015,1444,2.39
2014,1444,1.48
2013,1444,4.57
2012,1444,5.87
2011,1444,4.64
2010,1444,12.1
2009,1444,5.61
2008,1444,-2.67
2023,1445,38.5
2022,1445,0.53
2021,1445,-1.27
2020,1445,-2.9
2019,1445,-1.94
2018,1445,-1.11
2017,1445,0.55
2016,1445,2.72
2015,1445,3.93
2014,1445,1.27
2013,1445,2.8
2012,1445,1.12
2011,1445,4.48
2010,1445,5
2009,1445,2.01
2008,1445,1.15
2023,1446,2.36
2022,1446,-0.84
2021,1446,-0.41
2020,1446,-0.18
2019,1446,0.01
2018,1446,-0.75
2017,1446,-1.05
2016,1446,1.71
2015,1446,-1.01
2014,1446,0.34
2013,1446,-0.34
2012,1446,-1.04
2011,1446,14.9
2010,1446,-8.4
2009,1446,0.98
2008,1446,0.4
2023,1447,-2.24
2022,1447,-0.09
2021,1447,1.47
2020,1447,-2.32
2019,1447,-1.33
2018,1447,0.95
2017,1447,-0.87
2016,1447,-0.28
2015,1447,0.24
2014,1447,1.98
2013,1447,6.38
2012,1447,0.15
2011,1447,-0.96
2010,1447,7.01
2009,1447,7.49
2008,1447,-13.8
2023,1449,1.23
2022,1449,1.58
2021,1449,1.17
2020,1449,-1.99
2019,1449,-1.79
2018,1449,-2.89
2017,1449,1.07
2016,1449,-3.46
2015,1449,-5.18
2014,1449,-0.13
2013,1449,-3.13
2012,1449,-3.26
2011,1449,-4.79
2010,1449,-5.69
2009,1449,-8.19
2008,1449,-7.79
2023,1451,-4.22
2022,1451,4.68
2021,1451,2.68
2020,1451,-4.6
2019,1451,-0.72
2018,1451,3.86
2017,1451,2.36
2016,1451,5.47
2015,1451,4.88
2014,1451,4.89
2013,1451,5.73
2012,1451,5.75
2011,1451,5.03
2010,1451,9.68
2009,1451,8.36
2008,1451,0.67
2023,1452,1.8
2022,1452,4.21
2021,1452,11.8
2020,1452,3.58
2019,1452,6.42
2018,1452,7.11
2017,1452,8.07
2016,1452,7.45
2015,1452,14.5
2014,1452,7.35
2013,1452,6
2012,1452,4.03
2023,1453,3.1
2022,1453,-0.66
2021,1453,6.53
2020,1453,1.15
2019,1453,-3.43
2018,1453,24.8
2017,1453,-2.12
2016,1453,-0.92
2015,1453,4.46
2014,1453,-3.83
2013,1453,1.74
2012,1453,10.9
2011,1453,0.7
2010,1453,2.2
2009,1453,3.73
2008,1453,2.84
2023,1454,0.96
2022,1454,1.57
2021,1454,0.25
2020,1454,-1.9
2019,1454,1.71
2018,1454,0.94
2017,1454,0.86
2016,1454,2.45
2015,1454,4.83
2014,1454,3.24
2013,1454,1.79
2012,1454,-0.85
2011,1454,7.57
2010,1454,0.43
2009,1454,-0.41
2008,1454,0.85
2023,1455,-2.46
2022,1455,-2.82
2021,1455,9.34
2020,1455,-0.43
2019,1455,-2.87
2018,1455,0.76
2017,1455,3.06
2016,1455,1.82
2015,1455,1.1
2014,1455,0.44
2013,1455,2.64
2012,1455,-0.47
2023,1456,0.04
2022,1456,-0.84
2021,1456,6.57
2020,1456,1.15
2019,1456,0.51
